SiteID1,SiteID2,SiteName,SiteLat,SiteLon,SiteLonAdj
LS11ANSE01,LS11ANSE,Seven mile,62.2,223.6,-136.4
LS11BACH01,LS11BACH,Challa,3.32,37.7,37.7
LS11BIPU01,LS11BIPU01a,Laguna Pumacocha,-10.7,283.94,-76.06
LS11KOMA01,LS11KOMA01A,Lake Malawi,-10.0183,34.1878,34.1878
LS11MOES01,LS11MOES,Estanya,42.03,0.53,0.53
LS11NECA01,LS11NECA,Castor,48.5,240.4,-119.6
LS11RYKA01,LS11RYKA,Kasenda,0.4333,30.28,30.28
LS11TICH01,LS11TICH01A,Lake Challa,-3.3167,37.7,37.7
LS12ANBI01,LS12ANBI,Bison,39.8,252.7,-107.30000000000001
LS12ANYE01,LS12ANYE,Yellow,39.7,252.6,-107.4
LS12GOBA01,LS12GOBA01a,Barker Swamp,-32.001,115.51,115.51
LS12KENO01,LS12KENO01a,Northwest Jacka Lake,-36.8,141.8,141.8
LS12STLI01,LS12STLI,Lime,48.9,242.7,-117.30000000000001
LS12STRE01,LS12STRE,Renner,48.8,241.8,-118.19999999999999
LS12THAY01,LS12THAY01C,Ayr Lake,70.459,289.914,-70.08600000000001
LS12WOQU01,LS12WOQU,Quartz Lake,64.21,214.18,-145.82
LS13BAFL01,LS13BAFL01D,Flower Valley Lake,65.6107,322.3065,-37.69349999999997
LS13BAFL01,LS13BAFL01B,Flower Valley Lake,65.6107,322.3065,-37.69349999999997
LS13BAFL01,LS13BAFL01C,Flower Valley Lake,65.6107,322.3065,-37.69349999999997
LS13KOLA01,LS13KOLA01A,Lake Lading,-8.0089,113.3128,113.3128
LS13LUBA01a,LS13LUBA01a,Barkol,43.6375,92.8142,92.8142
LS13STEL01,LS13STEL,Lago El Grancho,11.9,274.0833,-85.91669999999999
LS13WASU01,LS13WASU01B,Lake Sugan,38.8667,93.95,93.95
LS13YUSA,GH8f461f71,San Luis Lake,37.675,254.27700000000002,-105.72299999999998
LS14ATJU01A,LS14ATJU01A,El Junco Lake,0.9,270.5167,-89.48329999999999
LS14FEZA01,LS14FEZA01D,Zaca Lake,34.7778,239.9608,-120.0392
LS14KOSA01,LS14KOSA01A,Sacred Lake,0.0833,37.5333,37.5333
LPD343ffe05,LPD343ffe05,Sonk11D,41.7939,75.1961,75.1961
LS14LESA01,LS14LESA01a,Sasikul Lake,37.7,73.1833,73.1833
LS14PRLO01,LS14PRLO01a,Lonar,19.9763,76.5077,76.5077
LS14TAKA01,LS14TAKA01a,Lake Karakul,38.86,73.26,73.26
LS14YAHA01,LS14YAHA02a,Hala Lake,38.3,97.58,97.58
LS14ZHJU01,LS14ZHJU01A,El Junco Lake,-0.9,270.5167,-89.48329999999999
LS15ABSH01,LS15ABSH01a,Shuaiba Lagoon,20.7,39.4333,39.4333
LS15AIKA01,LS15AIKA01B,Lake Karakuli,38.4397,75.0572,75.0572
LS15AIKA01,LS15AIKA01A2,Lake Karakuli,38.4397,75.0572,75.0572
LS15BHAL01,LS15BHAL,Laguna de Aljojuca,19.0915,262.4662,-97.53379999999999
LS15DENA01,LS15DENA02a,Lake Nar,38.34,34.46,34.46
LS15DOCH01,LS15DOCH01C,Lake Chichancanab,19.8333,271.25,-88.75
LS15DOCH01,LS15DOCH01B,Lake Chichancanab,19.8333,271.25,-88.75
LS15DOSA01,LS15DOSA01C,Lake Salpeten,16.98,270.33,-89.67000000000002
LS15DOSA01,LS15DOSA01B,Lake Salpeten,16.98,270.33,-89.67000000000002
LS15JOPA01,LS15JOPA01,Lake Parishan,29.514,51.8,51.8
LS15LAOH01,LS15LAOH01a,Ohrid,41.0658,20.6728,20.6728
LS15OEPO01,LS15OEPO01a,Laguna Potrok Aike,-51.95,289.62,-70.38
LS15SHBO01,LS15SHBO01A,Lake Bosumtwi,6.5,358.5833,-1.4166999999999916
LS15SHNE01A,LS15SHNE01A,Neor,37.9603,48.5553,48.5553
LS16STCL01,LPD7dc5b9ba,Cleland Lake,50.83,243.61,-116.38999999999999
LS16STPA,LPD179d915e,Paradise,54.685,237.383,-122.61699999999999
LS16THN30101,WEB69678476,Lake N3,68.6374,309.02,-50.98000000000002
LS16THN30102,WEB2bbc35a8,Lake N3,68.6374,309.02,-50.98000000000002
LS16THQI0101,WEBaddada01,Lake Qinghai,37.0,100.0,100.0
LS16WIGH01,LPD76e57382,Lake Ghirla,45.9166,8.8225,8.8225
LS17BAHA0101,WEBc5c2e8ea,Haklyutvatnet,79.7733,10.7378,10.7378
LS17BAHA0101,WEBd7a384df,Haklyutvatnet,79.7733,10.7378,10.7378
LS17STNU0101,WEBab3eac63,Lake Nuudsaku,58.1969,25.6275,25.6275
LS17VAWA0101,WEBdc316522,Wahoo Lake Shelf Core,69.0763,213.0703,-146.9297
LS89LATI01,LS89LATI,Lake Tiaglamimine,32.9,5.35,5.35
LS91BEWA01,LS91BEWA,Walker Lake,37.87,240.84,-119.16
LS91HOMI,LS91HOMI,Miragoane,18.402,286.954,-73.04599999999999
LS96CUPU01,LS96CUPUb,Punta Laguna,20.63,272.39,-87.61000000000001
LS96VOAM01,LS96VOAM01,Ammersee,47.1,11.0166,11.0166
LS97HOKA01,LS97HOKA1a,Kajemarum Oasis,13.305,11.0288,11.0288
LS98CUPE01,LS98CUPE,Lake Peten-Itza,17.0003,270.2152,-89.78480000000002
LS99CUVA01,LS99CUVAc,Lake Valencia,10.1667,292.25,-67.75
LS99LASI01,LS99LASI,Lake Sidi Ali,33.05,5.0,5.0
MS01HDAS01a,MS01HDAS01a,Arabian Sea,24.83,65.92,65.92
MS02FLPC01a,MS02FLPC01a,"Chilean margin, Southern Ocean (Pacific sector)",-41.0,285.55,-74.44999999999999
MS03BRNS02,MS03BRNS02,Nordic Seas,66.9698,7.6393,7.6393
MS03BRNS01,MS03BRNS01,Nordic Seas,66.9698,7.6393,7.6393
MS03KTCB02,MS03KTCB02,Cariaco Basin,10.6667,295.3,-64.69999999999999
MS03KTCB01,MS03KTCB01,Cariaco Basin,10.6667,295.3,-64.69999999999999
MS03LKNS01,MS03LKNS01,"Emerald Basin,OCE326 MC-29D",45.89,297.2,-62.80000000000001
MS03SMAS01,MS03SMAS01,Arabian Sea,24.62,65.98,65.98
MS04BLCB02,MS04BLCB02,Cariaco Basin,10.75,295.3,-64.69999999999999
MS04BLCB01,MS04BLCB01,Cariaco Basin,10.75,295.3,-64.69999999999999
MS04ICNI01,MS04ICNI01,North Iceland,66.6414,339.1369,-20.863099999999974
MS05ESCR01c,MS05ESCR01c,Congo River mouth,-5.5883,11.2217,11.2217
MS05ESCR01a,MS05ESCR01a,Congo River mouth,-5.5883,11.2217,11.2217
MS05LKLF01a,MS05LKLF01a,"Laurentian Fan, western subpolar North Atlantic",43.48,305.13,-54.870000000000005
MS06DLDS01b,MS06DLDS01b,"Dry Tortugas, 62MC",24.33,276.74,-83.25999999999999
MS06DLDS01a,MS06DLDS01a,"Dry Tortugas, 62MC",24.33,276.74,-83.25999999999999
MS06DLGN01b,MS06DLGN01b,Great Bahama Bank north,24.76,280.71,-79.29000000000002
MS06DLGN01a,MS06DLGN01a,Great Bahama Bank north,24.76,280.71,-79.29000000000002
MS06DLGS01b,MS06DLGS01b,Great Bahama Bank south 118MC,24.59,280.73,-79.26999999999998
